Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
57661485,Educated,Tara Westover,"Westover, Tara",,"=""""","=""""",5,4.46,Random House,Kindle Edition,335,2018,2018,2026/03/07,2026/02/07,,,read,,,,1,0
4030991,Shoe Dog,Phil Knight,"Knight, Phil",,"=""1501135937""","=""9781501135934""",0,4.46,Scribner,Kindle Edition,402,2016,2016,,2026/02/07,currently-reading,currently-reading (#2),currently-reading,,,,1,0
330760,The Subterraneans,Jack Kerouac,"Kerouac, Jack",,"=""0802131867""","=""9780802131867""",3,3.65,Grove Weidenfeld,Paperback,128,1994,1958,2026/02/14,2026/02/14,,,read,,,,1,0
217927682,Shamanism: The Timeless Religion,Manvir   Singh,"Singh, Manvir",,"=""0593537548""","=""9780593537541""",3,3.95,Knopf,Hardcover,304,2025,,2026/02/14,2026/01/16,,,read,,,,1,0
41104077,Invisible Women: Data Bias in a World Designed for Men,Caroline Criado Pérez,"Pérez, Caroline Criado",,"=""1419729071""","=""9781419729072""",0,4.34,Abrams Press,Hardcover,448,2019,2019,,2026/02/14,to-read,to-read (#19),to-read,,,,0,0
58578769,"Endure: How to Work Hard, Outlast, and Keep Hammering",Cameron R. Hanes,"Hanes, Cameron R.","Joe Rogan, David Goggins","=""1250279291""","=""9781250279293""",0,4.02,St. Martin's Press,Hardcover,336,2022,2022,,2026/02/14,to-read,to-read (#18),to-read,,,,0,0
91770,Nunaga: Ten Years Among the Eskimos,Duncan Pryde,"Pryde, Duncan",,"=""0907871631""","=""9780907871637""",0,4.32,Eland,Paperback,288,2003,1972,,2026/02/07,to-read,to-read (#17),to-read,,,,0,0
244580442,Flipping The Script: The 2024 U.S. Gymnastics Team’s Journey to Olympic Gold,Caroline Price,"Price, Caroline",,"=""""","=""""",4,3.67,,Kindle Edition,283,2025,,2026/02/07,2026/01/03,,,read,"A great timeline and recounting of team USA’s impressive road to Paris in the 2024 Olympics! Although written from a technical gymnast perspective, this is a nice and quick read.",,,1,0
13707738,Boomerang: Travels in the New Third World,Michael   Lewis,"Lewis, Michael",,"=""0393343448""","=""9780393343441""",0,3.90,W. W. Norton & Company,Paperback,218,2012,2011,,2026/02/03,to-read,to-read (#16),to-read,,,,0,0
58536046,Why Has Nobody Told Me This Before?,Julie      Smith,"Smith, Julie",,"=""0063227932""","=""9780063227934""",0,3.86,HarperOne,Hardcover,368,2022,2022,,2026/02/03,to-read,to-read (#15),to-read,,,,0,0
9004246,HBR'S 10 Must Reads: The Essentials,Harvard Business Review,"Review, Harvard Business","Michael Overdorf, Thomas H. Davenport, Peter F. Drucker, Daniel Goleman, Clayton M. Christensen","=""1422133443""","=""9781422133446""",0,3.97,Harvard Business Review Press,Paperback,288,2010,2010,,2026/01/26,currently-reading,currently-reading (#1),currently-reading,,,,1,0
